"name","website","siren","matched_name","confidence","city","activity","creation_date"
"Addguests","https://addguests.com/","948157532","ADDGUESTS MAX","0.8","LE MANS","79.90Z","2025-01-01"
"Amarisoft","https://www.amarisoft.com/","753998269","AMARISOFT (AMARISOFT)","0.6","LEVALLOIS-PERRET","63.11Z","2021-07-01"
"Argon & Co","https://www.argonandco.com","882300379","ARGON&CO","0.76","LEVALLOIS-PERRET","64.20Z","2020-03-04"
"Cooptalis","https://www.anywr-group.com","753670306","COOPTALIS (COOPTALIS)","0.6","PARIS","70.22Z","2019-04-01"
"DIABOLIC","https://www.facebook.com/DiabolicMotoparthenay/?locale=fr_FR&utm_source=gmb","511782716","DIABOLIC MOTO","0.72","PARTHENAY","45.40Z","2018-10-01"
"Finalcad","https://finalcadone-web.eu.finalcad.com/login","501388573","FINALCAD (ADVAE) (KC)","0.63","PARIS 14","63.11Z","2022-12-22"
"Flex Fuel Energy Development","https://www.flexfuel-company.com","511026148","FLEX FUEL ENERGY DEVELOPMENT (FLEXFUEL) (FFED)","0.78","VALBONNE","72.19Z","2022-05-18"
"H’ability","https://centrehabilitys.com/","850726126","LB HABILITYS","0.78","DAX","74.90B","2019-04-15"
"LimFlow","https://limflow.com","820710267","LIMFLOW (LIMFLOW)","0.6","PARIS","72.19Z","2021-09-14"
"Loisirs Enchères","https://www.loisirsencheres.com/","801270612","LOISIRS ENCHERES","0.72","BORDEAUX","47.91B","2018-04-11"
"Mistertemp'","https://www.mistertemp.com/","999065170","MISTERTEMP SUPPORT","0.69","CLICHY","70.22Z","2025-12-19"
"Nepsis Energy","https://nepsis.co/","834628604","NEPSIS","0.6","CLICHY-SOUS-BOIS","62.02A","2018-01-11"
"OpenClassrooms","https://openclassrooms.com/fr/","493861363","OPENCLASSROOMS (OPENCLASSROOMS)","0.6","PARIS","70.10Z","2025-11-12"
"Revolte Club","https://www.revolte.club/","891753352","REVOLTE","0.69","CARQUEFOU","45.20A","2022-07-24"
"Siteflow","http://siteflow.fr/","833858590","SITEFLOW SOLUTION","0.6","PARIS","62.02A","2023-04-01"
"Volta Medical","https://www.volta-medical.eu/fr","820967875","SUBSTRATE HD (VOLTA MEDICAL)","0.62","MARSEILLE","62.01Z","2020-12-15"
